years_exp_band,skills_coverage_band,referral_flag,english_level,location_match,priority
3-6,Medium,0,B2,Local,Med
3-6,Low,0,A2,RemoteOK,Low
0-1,Low,1,B2,RemoteOK,Low
1-3,Medium,0,C1,RemoteOK,Med
1-3,High,0,B2,Local,High
0-1,High,0,B1,Relocate,Low
1-3,High,0,C1,Local,High
3-6,Medium,0,B2,RemoteOK,Med
3-6,High,0,C1,Local,High
3-6,Low,0,B1,Local,Med
3-6,Medium,0,B2,Local,High
3-6,Medium,0,B2,RemoteOK,Med
1-3,Medium,1,B2,RemoteOK,Med
3-6,Low,0,B1,Local,Med
3-6,Medium,1,B2,Local,High
1-3,Medium,0,B1,Relocate,Low
3-6,Medium,1,C1,Local,High
3-6,Low,0,B2,Local,Med
3-6,Medium,0,B1,Relocate,Med
3-6,Medium,0,B2,Local,High
6+,Medium,0,B2,RemoteOK,High
1-3,High,0,C1,Relocate,Med
6+,Medium,0,B2,Local,High
0-1,Low,0,B2,Local,Low
6+,Low,0,B2,Local,High
3-6,Medium,1,A2,Local,High
3-6,Medium,0,B2,Relocate,Med
6+,High,1,A2,RemoteOK,High
3-6,Medium,1,C1,RemoteOK,High
3-6,Medium,0,A2,Local,Med
1-3,High,0,C1,Local,High
6+,Medium,0,B1,RemoteOK,Low
1-3,Medium,0,B1,Local,Med
0-1,Medium,0,B2,Local,Med
6+,Medium,0,B2,Local,Med
6+,Medium,0,B1,Local,High
1-3,Low,0,B2,Relocate,Low
3-6,High,0,C1,Local,High
3-6,Low,0,B2,Local,Med
3-6,Low,0,C1,Local,Med
1-3,Low,0,A2,Local,Low
1-3,Medium,1,C1,Relocate,High
0-1,Low,0,B2,Relocate,Low
0-1,Medium,0,B1,Local,Med
1-3,Medium,0,B2,Local,Med
6+,Medium,1,B2,Local,High
3-6,Medium,0,B2,RemoteOK,Med
6+,Medium,0,A2,Local,High
0-1,Medium,1,B2,Local,Med
0-1,High,0,B1,Local,Med
3-6,Medium,0,B1,RemoteOK,Med
1-3,High,0,B2,Relocate,Med
1-3,Low,1,B2,Relocate,Low
3-6,Medium,0,B1,RemoteOK,Med
3-6,Medium,0,B2,Local,High
0-1,Medium,1,C1,RemoteOK,Med
3-6,High,1,C1,Local,High
1-3,Low,0,B1,RemoteOK,Low
0-1,Medium,0,A2,Local,Low
3-6,Low,1,B2,RemoteOK,Med
0-1,Medium,1,B1,Local,Med
3-6,Medium,0,B2,Local,High
6+,High,0,B1,Local,High
1-3,High,0,A2,RemoteOK,Med
6+,Low,1,C1,Relocate,High
1-3,Low,0,B2,RemoteOK,Low
1-3,Low,0,B2,RemoteOK,Low
1-3,Medium,0,B1,RemoteOK,Med
1-3,High,0,A2,Local,Med
0-1,Medium,0,B2,Relocate,Low
1-3,Medium,0,B2,Relocate,Low
1-3,Low,1,C1,RemoteOK,Low
0-1,Medium,0,B2,Local,Med
1-3,Medium,1,B2,Local,High
1-3,Medium,0,B1,RemoteOK,Med
3-6,Medium,0,B2,Local,High
1-3,Medium,1,B2,Relocate,Med
1-3,Low,0,B2,RemoteOK,Low
1-3,Low,0,A2,Local,Low
3-6,Medium,0,B2,Local,High
1-3,Medium,0,B1,Local,Med
3-6,Medium,0,B2,Local,High
1-3,Medium,0,B2,Relocate,Low
3-6,Low,0,B1,RemoteOK,Med
1-3,Medium,0,B1,Relocate,High
0-1,Low,0,B1,Local,Low
0-1,Low,0,B1,Local,Med
1-3,High,0,B1,Local,Low
1-3,Low,0,B1,RemoteOK,Low
1-3,Medium,0,B1,Local,Med
3-6,Medium,0,B1,Local,Med
3-6,Medium,0,B1,RemoteOK,Med
1-3,High,1,B2,Local,High
6+,Low,1,B1,RemoteOK,High
6+,High,0,C1,Relocate,High
1-3,Medium,1,B2,RemoteOK,High
3-6,High,0,A2,Local,High
0-1,High,0,B1,Local,Med
6+,Low,0,B2,Local,High
6+,Low,0,C1,Local,High
1-3,Medium,1,B1,Local,Low
1-3,High,0,A2,Local,Med
3-6,Medium,1,B2,Local,High
1-3,Medium,0,B1,RemoteOK,Med
3-6,Low,0,B2,RemoteOK,Med
1-3,Medium,0,B1,Local,Med
1-3,Medium,1,C1,RemoteOK,High
3-6,Medium,0,C1,Local,High
6+,High,0,C1,Relocate,High
1-3,Medium,0,B2,Local,Med
6+,Low,0,B1,Local,Med
0-1,High,1,A2,RemoteOK,Med
0-1,Medium,1,B2,RemoteOK,Med
3-6,Low,0,B2,Local,Low
0-1,Medium,1,B1,Local,Med
1-3,Medium,1,B1,Local,Med
6+,Low,1,B1,Local,High
1-3,Low,0,B2,Relocate,Low
1-3,Low,0,B2,Local,Med
0-1,High,0,B1,Local,High
0-1,Low,0,B1,Local,Low
0-1,Low,0,C1,Local,Low
1-3,Medium,1,B1,RemoteOK,Med
6+,Medium,0,A2,Local,High
1-3,Medium,1,B2,Relocate,Low
3-6,Low,0,B2,Local,Med
3-6,High,0,B1,RemoteOK,High
1-3,Medium,0,C1,Local,Med
3-6,Medium,0,B2,Local,High
3-6,Medium,0,B1,Relocate,High
1-3,High,0,C1,Local,High
1-3,Medium,1,B2,Local,High
3-6,High,0,C1,Local,High
0-1,Low,0,B1,Local,Low
3-6,Medium,0,B2,RemoteOK,Med
3-6,Medium,0,B1,Local,Med
1-3,Medium,0,B2,RemoteOK,Med
1-3,High,0,B2,RemoteOK,Med
3-6,Low,0,B2,Local,Med
3-6,Low,0,B2,Local,Med
6+,Medium,0,B2,Local,Med
3-6,Low,0,B2,RemoteOK,Med
3-6,Medium,0,B2,Local,High
1-3,Medium,0,B2,RemoteOK,Med
3-6,Medium,1,B2,RemoteOK,High
0-1,Medium,1,B2,Local,Med
0-1,Medium,0,B1,RemoteOK,Low
1-3,Medium,1,B2,Local,High
3-6,Medium,0,A2,RemoteOK,Med
6+,High,0,B2,RemoteOK,High
1-3,Medium,0,A2,RemoteOK,Low
3-6,Medium,0,B1,Local,Med
1-3,Medium,0,B2,Local,Med
1-3,Low,1,A2,RemoteOK,Low
6+,Low,0,A2,Local,Med
3-6,Low,0,C1,Local,Med
0-1,Medium,0,B2,RemoteOK,Low
1-3,Medium,0,A2,RemoteOK,Low
1-3,Medium,1,B2,Relocate,Med
1-3,Medium,0,B2,RemoteOK,Med
1-3,Medium,0,B2,Local,High
1-3,Medium,0,B2,Local,Med
0-1,Medium,0,A2,Local,Low
3-6,Medium,1,B1,RemoteOK,High
1-3,High,0,B2,RemoteOK,Med
1-3,High,1,B1,Local,High
6+,Medium,1,B2,Local,High
3-6,Low,0,A2,Local,Med
6+,Medium,0,B2,RemoteOK,High
1-3,Medium,0,B1,Local,Med
1-3,High,0,B2,RemoteOK,Med
3-6,Low,0,B1,Local,Med
1-3,Medium,0,B2,RemoteOK,Med
1-3,Medium,0,B1,Local,Med
0-1,Medium,1,B2,Relocate,Low
0-1,High,0,B2,Local,Med
6+,Medium,0,B1,Local,High
3-6,Medium,0,B1,RemoteOK,Med
1-3,High,0,B1,Local,Med
1-3,Low,0,C1,RemoteOK,Med
3-6,Low,0,C1,RemoteOK,Med
1-3,Medium,0,C1,Local,Med
1-3,High,1,B2,Local,High
6+,Medium,0,B1,RemoteOK,High
1-3,Medium,1,B2,RemoteOK,High
3-6,Medium,0,B2,Local,Med
1-3,Medium,0,B1,Local,High
